"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Phillip Dorsett",3300,"KC@NE 08:30PM ET",6.587,"NE"
"DST","Falcons ",3300,"ATL@CHI 01:00PM ET",7.167,"ATL"
"WR","Victor Cruz",3300,"ATL@CHI 01:00PM ET",6.788,"CHI"
"WR","John Ross",3300,"BAL@CIN 01:00PM ET",0,"CIN"
"WR","Jaron Brown",3300,"ARI@DET 01:00PM ET",5.100,"ARI"
"RB","Dwayne Washington",3300,"ARI@DET 01:00PM ET",3.746,"DET"
"TE","Jared Cook",3300,"OAK@TEN 01:00PM ET",10.123,"OAK"
"WR","Seth Roberts",3300,"OAK@TEN 01:00PM ET",6.635,"OAK"
"WR","Aldrick Robinson",3300,"CAR@SF 04:25PM ET",3.739,"SF"
"WR","Russell Shepard",3300,"CAR@SF 04:25PM ET",5.000,"CAR"
"WR","Roger Lewis",3300,"NYG@DAL 08:30PM ET",2.050,"NYG"
"WR","Brandon Coleman",3300,"NO@MIN 07:10PM ET",4.506,"NO"
"WR","Albert Wilson",3200,"KC@NE 08:30PM ET",5.306,"KC"
"TE","Charles Clay",3200,"NYJ@BUF 01:00PM ET",9.080,"BUF"
"WR","Kendall Wright",3200,"ATL@CHI 01:00PM ET",8.464,"CHI"
"RB","Ryan Mathews",3200,"PHI@WAS 01:00PM ET",11.738,"PHI"
"DST","Rams ",3200,"IND@LAR 04:05PM ET",5.813,"LAR"
"WR","Marquise Goodwin",3200,"CAR@SF 04:25PM ET",6.207,"SF"
"WR","Tavarres King",3200,"NYG@DAL 08:30PM ET",2.913,"NYG"
"RB","Jerick McKinnon",3200,"NO@MIN 07:10PM ET",9.893,"MIN"
"WR","Austin Carr",3100,"KC@NE 08:30PM ET",0,"NE"
"DST","Bengals ",3100,"BAL@CIN 01:00PM ET",6.125,"CIN"
"TE","C.J. Fiedorowicz",3100,"JAX@HOU 01:00PM ET",8.941,"HOU"
"TE","Cameron Brate",3100,"TB@MIA 01:00PM ET",11.400,"TB"
"WR","Tajae Sharpe",3100,"OAK@TEN 01:00PM ET",6.581,"TEN"
"RB","Elijah Hood",3100,"OAK@TEN 01:00PM ET",0,"OAK"
"WR","Brian Quick",3100,"PHI@WAS 01:00PM ET",7.213,"WAS"
"WR","Pharoh Cooper",3100,"IND@LAR 04:05PM ET",2.360,"LAR"
"RB","Orleans Darkwa",3100,"NYG@DAL 08:30PM ET",2.630,"NYG"
"RB","Devine Redding",3000,"KC@NE 08:30PM ET",0,"KC"
"RB","Spencer Ware",3000,"KC@NE 08:30PM ET",14.293,"KC"
"RB","Anthony Sherman",3000,"KC@NE 08:30PM ET",0.376,"KC"
"RB","C.J. Spiller",3000,"KC@NE 08:30PM ET",3.133,"KC"
"WR","De'Anthony Thomas",3000,"KC@NE 08:30PM ET",1.031,"KC"
"WR","Seantavius Jones",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Tony Stevens",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Marcus Kemp",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Robert Wheelwright",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Tevin Jones",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Gehrig Dieter",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Jehu Chesson",3000,"KC@NE 08:30PM ET",0,"KC"
"WR","Demarcus Robinson",3000,"KC@NE 08:30PM ET",0.000,"KC"
"RB","Brandon Bolden",3000,"KC@NE 08:30PM ET",0.244,"NE"
"RB","James Develin",3000,"KC@NE 08:30PM ET",0.450,"NE"
"RB","LeShun Daniels Jr.",3000,"KC@NE 08:30PM ET",0,"NE"
"RB","D.J. Foster",3000,"KC@NE 08:30PM ET",1.200,"NE"
"RB","Glenn Gronkowski",3000,"KC@NE 08:30PM ET",0.000,"NE"
"WR","Julian Edelman",3000,"KC@NE 08:30PM ET",16.278,"NE"
"WR","K.J. Maye",3000,"KC@NE 08:30PM ET",0,"NE"
"WR","Cody Hollister",3000,"KC@NE 08:30PM ET",0,"NE"
"WR","Matthew Slater",3000,"KC@NE 08:30PM ET",-0.033,"NE"
"WR","Tony Washington",3000,"KC@NE 08:30PM ET",0.950,"NE"
"WR","Devin Lucien",3000,"KC@NE 08:30PM ET",0,"NE"
"RB","Mike Tolbert",3000,"NYJ@BUF 01:00PM ET",2.163,"BUF"
"WR","Brandon Tate",3000,"NYJ@BUF 01:00PM ET",1.633,"BUF"
"RB","Taiwan Jones",3000,"NYJ@BUF 01:00PM ET",0.536,"BUF"
"RB","Joe Banyard",3000,"NYJ@BUF 01:00PM ET",0.700,"BUF"
"RB","Patrick DiMarco",3000,"NYJ@BUF 01:00PM ET",1.239,"BUF"
"WR","Frankie Hammond Jr.",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Myles White",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Quincy Enunwa",3000,"NYJ@BUF 01:00PM ET",10.744,"NYJ"
"WR","Rod Streater",3000,"NYJ@BUF 01:00PM ET",3.069,"BUF"
"RB","Marcus Murphy",3000,"NYJ@BUF 01:00PM ET",0.433,"NYJ"
"WR","Walter Powell",3000,"NYJ@BUF 01:00PM ET",3.133,"BUF"
"WR","Kaelin Clay",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Andre Holmes",3000,"NYJ@BUF 01:00PM ET",3.506,"BUF"
"RB","Algernon Brown",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Marquess Wilson",3000,"NYJ@BUF 01:00PM ET",11.333,"NYJ"
"WR","Philly Brown",3000,"NYJ@BUF 01:00PM ET",3.763,"BUF"
"WR","Rashad Ross",3000,"NYJ@BUF 01:00PM ET",0.360,"BUF"
"WR","Dezmin Lewis",3000,"NYJ@BUF 01:00PM ET",0.000,"BUF"
"WR","Deshon Foxx",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"RB","Romar Morris",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Jeremy Butler",3000,"NYJ@BUF 01:00PM ET",0.775,"BUF"
"WR","Brandon Reilly",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Gabe Marks",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Chris Harper",3000,"NYJ@BUF 01:00PM ET",2.922,"NYJ"
"RB","Jordan Johnson",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Daikiel Shorts",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Jalin Marshall",3000,"NYJ@BUF 01:00PM ET",4.020,"NYJ"
"WR","Lucky Whitehead",3000,"NYJ@BUF 01:00PM ET",0.938,"NYJ"
"RB","Anthony Firkser",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Chad Hansen",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"RB","Julian Howsare",3000,"NYJ@BUF 01:00PM ET",0.000,"NYJ"
"RB","Cedric O'Neal",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Kenbrell Thompkins",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"RB","Jahad Thomas",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Dan Williams",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Andre Roberts",3000,"ATL@CHI 01:00PM ET",2.929,"ATL"
"WR","Deonte Thompson",3000,"ATL@CHI 01:00PM ET",3.806,"CHI"
"RB","Derrick Coleman",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","B.J. Daniels",3000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","Rueben Randle",3000,"ATL@CHI 01:00PM ET",0,"CHI"
"WR","Nick Williams",3000,"ATL@CHI 01:00PM ET",5.450,"ATL"
"WR","Josh Bellamy",3000,"ATL@CHI 01:00PM ET",3.556,"CHI"
"RB","Michael Burton",3000,"ATL@CHI 01:00PM ET",0.000,"CHI"
"WR","Justin Hardy",3000,"ATL@CHI 01:00PM ET",3.839,"ATL"
"RB","Terron Ward",3000,"ATL@CHI 01:00PM ET",3.440,"ATL"
"WR","Titus Davis",3000,"ATL@CHI 01:00PM ET",0,"CHI"
"RB","Ka'Deem Carey",3000,"ATL@CHI 01:00PM ET",1.777,"CHI"
"WR","Marvin Hall",3000,"ATL@CHI 01:00PM ET",0,"ATL"
